County,White_Non_Hispanic,Black,Native_American,Asian,Pacific_Islander,Some_Other_Race,Mixed,Hispanic
"Apache County, Arizona",13791,184,46509,307,18,115,1236,3861
"Cochise County, Arizona",68256,4371,762,2587,421,725,5710,42615
"Coconino County, Arizona",76904,1777,35143,2582,254,616,6106,21719
"Gila County, Arizona",32757,239,8655,427,45,203,1663,9283
"Graham County, Arizona",20398,453,5143,169,16,102,824,11428
"Greenlee County, Arizona",4446,80,275,68,1,34,283,4376
"La Paz County, Arizona",9061,102,2354,111,41,43,648,4197
"Maricopa County, Arizona",2357571,245239,68353,197910,9579,20693,169808,1351415
"Mohave County, Arizona",160165,2063,4053,2600,365,690,9205,34126
"Navajo County, Arizona",44786,674,46572,548,68,232,2950,10887
"Pima County, Arizona",536868,36254,23670,29844,1937,4657,37415,372788
"Pinal County, Arizona",240006,20712,17156,6290,1081,1658,16828,121533
"Santa Cruz County, Arizona",7119,114,78,271,13,150,292,39632
"Yavapai County, Arizona",183296,1415,3319,2802,269,1071,9647,34390
"Yuma County, Arizona",61123,3484,1888,2321,215,622,4225,130003
"Nevada County, Arkansas",5145,2433,37,41,0,16,284,354
"Nevada County, California",82810,416,695,1371,119,617,5797,10416
"Alachua County, Florida",160463,51171,562,17891,101,1668,12998,33614
"Baker County, Florida",22185,3825,109,157,14,84,912,973
"Bay County, Florida",128348,17549,795,4068,194,720,9696,13846
"Bradford County, Florida",20320,5427,58,135,12,97,904,1350
"Brevard County, Florida",430936,56498,1569,15587,482,3389,30244,67907
"Broward County, Florida",644230,517618,2917,74040,696,21389,74782,608703
"Calhoun County, Florida",10490,1668,93,46,0,10,719,622
"Charlotte County, Florida",153700,8870,385,2566,63,782,6402,14079
"Citrus County, Florida",131477,3891,466,2412,43,517,5796,9241
"Clay County, Florida",148986,25621,680,6626,363,1064,11771,23134
"Collier County, Florida",235455,22554,551,5419,61,1502,7961,102249
"Columbia County, Florida",49096,11441,236,867,27,295,2673,5063
"DeSoto County, Florida",18624,4203,80,189,8,80,781,10011
"Dixie County, Florida",13750,1551,61,58,0,33,618,688
"Duval County, Florida",492039,286344,2306,48652,960,6837,45740,112689
"Escambia County, Florida",200962,68148,1998,9866,410,1771,17957,20793
"Flagler County, Florida",84291,10537,291,2450,59,704,4747,12299
"Franklin County, Florida",9798,1403,41,30,2,41,461,675
"Gadsden County, Florida",14093,23326,71,147,4,120,972,5093
"Gilchrist County, Florida",14827,788,62,56,2,45,736,1348
"Glades County, Florida",7132,1434,193,34,0,45,238,3050
"Gulf County, Florida",11222,1692,66,57,0,34,566,555
"Hamilton County, Florida",7633,4422,43,43,0,26,382,1455
"Hardee County, Florida",11873,2111,55,165,3,35,481,10604
"Hendry County, Florida",12089,4195,155,339,4,120,605,22112
"Hernando County, Florida",144060,9507,553,2566,86,868,7830,29045
"Highlands County, Florida",65511,9484,291,1602,49,307,3048,20943
"Hillsborough County, Florida",667791,224479,2817,69928,914,9655,56797,427381
"Holmes County, Florida",16766,1211,120,81,13,27,747,688
"Indian River County, Florida",117422,13079,273,2341,52,730,5059,20832
"Jackson County, Florida",30629,12042,196,292,18,144,1783,2215
"Jefferson County, Florida",8720,4600,36,34,3,54,405,658
"Lafayette County, Florida",6074,1024,16,10,1,18,145,938
"Lake County, Florida",253214,37883,1016,8362,317,2916,14873,65375
"Lee County, Florida",490476,55958,1228,12789,244,3974,22992,173161
"Leon County, Florida",157458,87503,631,10465,155,1261,11811,22914
"Levy County, Florida",32874,3597,122,292,11,170,1769,4080
"Liberty County, Florida",5729,1353,52,18,1,26,233,562
"Madison County, Florida",10132,6281,53,45,0,63,513,881
"Manatee County, Florida",273101,31147,779,8433,246,1583,13442,70979
"Marion County, Florida",253837,42795,986,5973,148,1747,14512,55910
"Martin County, Florida",119216,7277,218,2246,42,525,4720,24187
"Miami-Dade County, Florida",361517,378756,1589,41672,385,14667,46243,1856938
"Monroe County, Florida",54731,4517,169,1137,61,407,2420,19432
"Nassau County, Florida",75817,4945,222,863,52,293,3711,4449
"Okaloosa County, Florida",146271,18896,799,6578,448,1206,14892,22578
"Okeechobee County, Florida",24671,3318,263,332,14,146,1043,9857
"Orange County, Florida",531362,263624,2207,76870,1114,16015,65691,473025
"Osceola County, Florida",113362,35145,562,11370,240,4218,12670,211089
"Palm Beach County, Florida",779759,255724,1536,43356,494,10766,50623,349933
"Pasco County, Florida",392375,31601,1388,16408,308,2771,23883,93157
"Pinellas County, Florida",684463,91431,1942,33700,797,4835,39500,102439
"Polk County, Florida",392621,100950,1623,13181,300,3684,24992,187695
"Putnam County, Florida",50541,11274,280,469,37,248,2656,7816
"St. Johns County, Florida",214428,12940,544,9764,151,1225,11766,22607
"St. Lucie County, Florida",176533,64597,568,5678,141,2470,12919,66320
"Santa Rosa County, Florida",147518,10690,1112,3818,362,847,11763,11890
"Sarasota County, Florida",349700,16165,695,8407,168,1902,13733,43236
"Seminole County, Florida",264072,50276,765,25164,243,2975,20822,106539
"Sumter County, Florida",109213,8313,311,1238,31,320,2743,7583
"Suwannee County, Florida",31664,4920,167,270,16,143,1509,4785
"Taylor County, Florida",15629,4196,102,224,0,45,734,866
"Union County, Florida",11585,3197,42,35,0,62,462,764
"Volusia County, Florida",379527,55338,1262,10478,266,2692,21328,82652
"Wakulla County, Florida",25987,4202,154,198,19,126,1501,1577
"Walton County, Florida",60644,3294,415,907,38,307,3513,6187
"Washington County, Florida",19484,3236,222,132,28,87,1205,924
"Appling County, Georgia",12674,3339,33,123,1,32,417,1825
"Atkinson County, Georgia",4801,1208,30,12,4,16,167,2048
"Bacon County, Georgia",8103,1747,4,40,4,32,335,875
"Baker County, Georgia",1514,1128,1,18,0,2,70,143
"Baldwin County, Georgia",22432,18318,64,599,27,193,1027,1139
"Banks County, Georgia",15578,394,54,189,8,28,620,1164
"Barrow County, Georgia",55582,10141,130,3233,17,459,3383,10560
"Bartow County, Georgia",80159,11309,254,1169,40,466,4753,10751
"Ben Hill County, Georgia",9219,6222,57,116,0,48,478,1054
"Berrien County, Georgia",14396,1934,22,80,10,62,611,1045
"Bibb County, Georgia",56787,85234,281,3209,42,602,4454,6737
"Bleckley County, Georgia",8867,2788,11,153,8,30,257,469
"Brantley County, Georgia",16317,562,45,42,3,34,692,326
"Brooks County, Georgia",9066,5684,24,67,6,42,457,955
