Textbox12,fips,county,ruc_code,rate_1970,rate_1980,rate_1990,rate_2000,ID2012,rate_2010,,,,,,,,,,,,
2018-2022,42001,"Adams, PA        ",3,7.90%,11.50%,13.20%,16.70%,19.30%,24.40%,,,,,,,,,,,,
2018-2022,42003,"Allegheny, PA        ",1,11.10%,16.50%,22.60%,28.30%,35.10%,43.80%,,,,,,,,,,,,
2018-2022,42005,"Armstrong, PA        ",1,4.40%,6.70%,8.10%,10.40%,14.30%,18.60%,,,,,,,,,,,,
2018-2022,42007,"Beaver, PA        ",1,6.20%,9.40%,11.90%,15.80%,20.90%,26.80%,,,,,,,,,,,,
2018-2022,42009,"Bedford, PA        ",8,4.10%,6.50%,7.80%,10.20%,12.10%,16.10%,,,,,,,,,,,,
2018-2022,42011,"Berks, PA        ",2,6.60%,11.40%,15.10%,18.50%,22.30%,26.80%,,,,,,,,,,,,
2018-2022,42013,"Blair, PA        ",3,5.20%,8.10%,10.50%,13.90%,17.90%,23.40%,,,,,,,,,,,,
2018-2022,42015,"Bradford, PA        ",6,7.00%,8.90%,12.90%,14.80%,16.40%,20.00%,,,,,,,,,,,,
2018-2022,42017,"Bucks, PA        ",1,12.10%,18.60%,24.80%,31.20%,35.10%,43.30%,,,,,,,,,,,,
2018-2022,42019,"Butler, PA        ",1,7.70%,11.70%,15.60%,23.50%,29.70%,38.30%,,,,,,,,,,,,
2018-2022,42021,"Cambria, PA        ",3,5.40%,8.60%,10.80%,13.70%,17.90%,22.70%,,,,,,,,,,,,
2018-2022,42023,"Cameron, PA        ",9,5.90%,7.30%,9.80%,12.10%,13.90%,10.90%,,,,,,,,,,,,
2018-2022,42025,"Carbon, PA        ",2,3.90%,7.30%,8.40%,11.00%,15.50%,18.30%,,,,,,,,,,,,
2018-2022,42027,"Centre, PA        ",3,23.20%,27.50%,32.30%,36.30%,39.90%,46.20%,,,,,,,,,,,,
2018-2022,42029,"Chester, PA        ",1,17.10%,26.30%,34.70%,42.50%,48.30%,56.10%,,,,,,,,,,,,
2018-2022,42031,"Clarion, PA        ",6,7.20%,11.00%,11.70%,15.30%,18.30%,22.70%,,,,,,,,,,,,
2018-2022,42033,"Clearfield, PA        ",4,4.30%,7.60%,8.60%,11.10%,12.90%,19.10%,,,,,,,,,,,,
2018-2022,42035,"Clinton, PA        ",6,7.10%,9.30%,11.70%,13.40%,17.10%,20.30%,,,,,,,,,,,,
2018-2022,42037,"Columbia, PA        ",4,6.10%,10.20%,12.50%,15.80%,20.00%,25.50%,,,,,,,,,,,,
2018-2022,42039,"Crawford, PA        ",4,7.10%,10.50%,11.80%,14.70%,18.60%,20.60%,,,,,,,,,,,,
2018-2022,42041,"Cumberland, PA        ",2,12.50%,19.00%,22.90%,27.90%,32.40%,38.70%,,,,,,,,,,,,
2018-2022,42043,"Dauphin, PA        ",2,8.00%,14.30%,18.60%,23.50%,27.50%,33.30%,,,,,,,,,,,,
2018-2022,42045,"Delaware, PA        ",1,13.90%,18.90%,24.80%,30.00%,34.90%,40.90%,,,,,,,,,,,,
2018-2022,42047,"Elk, PA        ",7,5.30%,8.80%,9.50%,12.30%,15.70%,18.50%,,,,,,,,,,,,
2018-2022,42049,"Erie, PA        ",2,8.80%,13.20%,16.20%,20.90%,24.20%,29.60%,,,,,,,,,,,,
2018-2022,42051,"Fayette, PA        ",1,4.60%,7.20%,9.30%,11.50%,14.00%,18.60%,,,,,,,,,,,,
2018-2022,42053,"Forest, PA        ",9,1.90%,5.80%,7.90%,8.90%,9.20%,11.60%,,,,,,,,,,,,
2018-2022,42055,"Franklin, PA        ",3,6.90%,10.30%,12.40%,14.80%,19.30%,23.00%,,,,,,,,,,,,
2018-2022,42057,"Fulton, PA        ",8,3.40%,7.30%,7.40%,9.30%,11.30%,16.30%,,,,,,,,,,,,
2018-2022,42059,"Greene, PA        ",6,5.10%,9.50%,11.30%,12.20%,15.00%,21.10%,,,,,,,,,,,,
2018-2022,42061,"Huntingdon, PA        ",6,6.20%,8.60%,9.40%,11.90%,13.70%,18.10%,,,,,,,,,,,,
2018-2022,42063,"Indiana, PA        ",4,8.00%,11.20%,14.40%,17.00%,21.10%,26.20%,,,,,,,,,,,,
2018-2022,42065,"Jefferson, PA        ",7,4.80%,8.40%,8.90%,11.70%,12.60%,17.00%,,,,,,,,,,,,
2018-2022,42067,"Juniata, PA        ",8,3.80%,6.70%,7.30%,8.80%,11.20%,14.30%,,,,,,,,,,,,
2018-2022,42069,"Lackawanna, PA        ",2,6.00%,10.70%,14.80%,19.60%,25.10%,29.90%,,,,,,,,,,,,
2018-2022,42071,"Lancaster, PA        ",2,8.20%,13.00%,16.70%,20.50%,23.50%,30.50%,,,,,,,,,,,,
