Education (At least bachelor's degree) for Georgia by County
Population Ages 25+
"All Races (includes Hispanic/Latino), Both Sexes, 2018-2022"
Sorted by Value

County,FIPS,Value (Percent),People (Education: At Least Bachelor's Degree),Rank within US (of 3143 counties)
"Georgia",13000,33.6,2407707,"25 of 52"
"United States",00000,34.3,77751347,"N/A"
"Telfair County",13271,8.0,700,"3,127"
"Jenkins County",13165,9.1,598,"3,117"
"Webster County",13307,9.3,159,"3,112"
"Chattooga County",13055,9.5,1637,"3,108"
"Johnson County",13167,9.5,631,"3,107"
"Worth County",13321,9.5,1374,"3,106"
"Hancock County",13141,9.6,635,"3,103"
"Appling County",13001,10.0,1231,"3,095"
"Macon County",13193,10.1,868,"3,092"
"Brantley County",13025,10.3,1299,"3,084"
"Turner County",13287,10.5,635,"3,071"
"Twiggs County",13289,10.6,642,"3,065"
"Jefferson County",13163,10.8,1141,"3,058"
"Bacon County",13005,10.9,799,"3,050"
"Quitman County",13239,10.9,185,"3,045"
"Warren County",13301,11.1,408,"3,040"
"Crawford County",13079,11.3,961,"3,024"
"Murray County",13213,11.4,3069,"3,017"
"Atkinson County",13003,11.4,621,"3,016"
"Calhoun County",13037,11.4,479,"3,014"
"Taliaferro County",13265,11.5,149,"3,003"
"Jeff Davis County",13161,11.5,1118,"2,995"
"Heard County",13149,11.6,911,"2,983"
"Emanuel County",13107,11.6,1773,"2,982"
"Wilkinson County",13319,12.1,738,"2,945"
"Charlton County",13049,12.1,1092,"2,942"
"Marion County",13197,12.2,657,"2,936"
"Ben Hill County",13017,12.2,1403,"2,934"
"Candler County",13043,12.2,895,"2,930"
"Mitchell County",13205,12.3,1805,"2,925"
"Randolph County",13243,12.4,526,"2,912"
"Wheeler County",13309,12.8,611,"2,895"
"Clinch County",13065,12.9,581,"2,883"
"Pulaski County",13235,12.9,948,"2,882"
"Coffee County",13069,12.9,3683,"2,881"
"Glascock County",13125,12.9,257,"2,879"
"Long County",13183,13.0,1400,"2,874"
"Terrell County",13273,13.0,789,"2,873"
"Dooly County",13093,13.0,1116,"2,866"
"Butts County",13035,13.1,2337,"2,862"
"Meriwether County",13199,13.1,1936,"2,851"
"Wilcox County",13315,13.6,884,"2,808"
"Treutlen County",13283,13.7,594,"2,804"
"Echols County",13101,14.0,317,"2,769"
"Tattnall County",13267,14.0,2372,"2,764"
"Early County",13099,14.0,959,"2,762"
"Elbert County",13105,14.1,1958,"2,750"
"Crisp County",13081,14.1,1925,"2,748"
"Wayne County",13305,14.1,2862,"2,739"
"Polk County",13233,14.4,4097,"2,709"
"Burke County",13033,14.7,2284,"2,663"
"Brooks County",13027,14.7,1677,"2,661"
"Colquitt County",13071,14.7,4394,"2,657"
"Dodge County",13091,14.7,2125,"2,649"
"Berrien County",13019,14.8,1844,"2,630"
"Decatur County",13087,15.0,2888,"2,607"
"Ware County",13299,15.1,3659,"2,592"
"Upson County",13293,15.4,2929,"2,547"
"Talbot County",13263,15.4,679,"2,543"
"Wilkes County",13317,15.6,1097,"2,504"
"Screven County",13251,15.7,1612,"2,491"
"Stewart County",13259,15.8,661,"2,473"
"Grady County",13131,15.8,2797,"2,471"
"Stephens County",13257,16.0,2930,"2,443"
"Cook County",13075,16.0,1791,"2,441"
"Lincoln County",13181,16.2,925,"2,401"
"Taylor County",13269,16.3,901,"2,386"
"Evans County",13109,16.4,1141,"2,383"
"Toombs County",13279,16.4,2831,"2,380"
"Clay County",13061,16.6,320,"2,349"
"Gordon County",13129,16.7,6523,"2,328"
"Irwin County",13155,16.8,1098,"2,310"
"Franklin County",13119,16.8,2688,"2,304"
"Pierce County",13229,17.0,2252,"2,284"
"Seminole County",13253,17.0,1139,"2,282"
"Laurens County",13175,17.1,5664,"2,272"
"Banks County",13011,17.1,2215,"2,261"
"Washington County",13303,17.4,2451,"2,212"
"Lamar County",13171,17.5,2146,"2,199"
"McIntosh County",13191,17.8,1590,"2,149"
"Haralson County",13143,17.9,3710,"2,139"
"Jones County",13169,17.9,3519,"2,132"
"Schley County",13249,18.0,542,"2,128"
