county,Bachelors_Degree_Percent,Winner,Predicted_Winner
"Adams, PA        ",24.4,0,0
"Allegheny, PA        ",43.8,1,1
"Armstrong, PA        ",18.6,0,1
"Beaver, PA        ",26.8,0,1
"Bedford, PA        ",16.1,0,1
"Berks, PA        ",26.8,1,1
"Blair, PA        ",23.4,0,0
"Bradford, PA        ",20.0,0,0
"Bucks, PA        ",43.3,0,0
"Butler, PA        ",38.3,1,1
"Cambria, PA        ",22.7,0,0
"Cameron, PA        ",10.9,0,1
"Carbon, PA        ",18.3,0,1
"Centre, PA        ",46.2,0,0
"Chester, PA        ",56.1,1,1
"Clarion, PA        ",22.7,0,0
"Clearfield, PA        ",19.1,1,1
"Clinton, PA        ",20.3,1,1
"Columbia, PA        ",25.5,1,0
"Crawford, PA        ",20.6,0,0
"Cumberland, PA        ",38.7,1,1
"Dauphin, PA        ",33.3,0,0
"Delaware, PA        ",40.9,1,1
"Elk, PA        ",18.5,1,1
"Erie, PA        ",29.6,1,1
"Fayette, PA        ",18.6,1,1
"Forest, PA        ",11.6,1,1
"Franklin, PA        ",23.0,1,1
"Fulton, PA        ",16.3,1,1
"Greene, PA        ",21.1,1,1
"Huntingdon, PA        ",18.1,0,0
"Indiana, PA        ",26.2,0,1
"Jefferson, PA        ",17.0,1,1
"Juniata, PA        ",14.3,1,1
"Lackawanna, PA        ",29.9,1,1
"Lancaster, PA        ",30.5,0,0
"Lawrence, PA        ",22.0,1,0
"Lebanon, PA        ",22.9,0,0
"Lehigh, PA        ",32.4,0,0
"Luzerne, PA        ",24.5,0,0
"Lycoming, PA        ",24.4,0,0
"McKean, PA        ",19.5,0,0
"Mercer, PA        ",24.1,1,1
"Mifflin, PA        ",13.2,1,1
"Monroe, PA        ",26.6,1,1
"Montgomery, PA        ",51.4,1,1
"Montour, PA        ",36.4,1,1
"Northampton, PA        ",32.8,0,0
"Northumberland, PA        ",18.5,1,1
"Perry, PA        ",18.3,1,1
"Philadelphia, PA        ",33.6,0,0
"Pike, PA        ",27.4,1,1
"Potter, PA        ",16.7,0,0
"Schuylkill, PA        ",18.5,1,1
"Snyder, PA        ",21.0,0,0
"Somerset, PA        ",17.2,1,1
"Sullivan, PA        ",18.9,1,1
"Susquehanna, PA        ",19.9,0,0
"Tioga, PA        ",21.3,0,0
"Union, PA        ",25.1,0,0
"Venango, PA        ",19.4,0,0
"Warren, PA        ",19.0,0,0
"Washington, PA        ",32.4,0,0
"Wayne, PA        ",20.8,0,0
"Westmoreland, PA        ",31.2,0,1
"Wyoming, PA        ",21.5,1,0
"York, PA        ",26.3,1,1
2018-2022,34.3,0,0
2018-2022,27.2,1,1
2018-2022,30.7,1,1
2018-2022,31.8,1,1
2018-2022,24.7,1,1
2018-2022,35.9,0,0
2018-2022,43.7,1,1
2018-2022,41.4,0,0
2018-2022,34.5,1,1
2018-2022,62.6,1,1
2018-2022,32.3,1,1
2018-2022,33.6,0,0
2018-2022,34.7,1,1
2018-2022,30.2,0,0
2018-2022,36.7,1,1
2018-2022,28.2,0,0
2018-2022,30.3,1,1
2018-2022,34.7,0,1
2018-2022,26.5,0,1
2018-2022,26.1,1,1
2018-2022,34.1,0,0
2018-2022,42.2,1,1
2018-2022,45.9,1,0
2018-2022,31.1,1,1
2018-2022,38.2,1,1
2018-2022,23.9,1,1
2018-2022,31.2,1,1
2018-2022,34.0,1,1
2018-2022,33.5,1,1
2018-2022,26.5,1,1
2018-2022,39.0,1,1
2018-2022,42.3,1,1
2018-2022,29.1,0,0
2018-2022,38.8,0,0
2018-2022,33.9,1,1
2018-2022,31.4,1,1
2018-2022,30.4,1,1
2018-2022,27.3,1,1
2018-2022,35.5,1,1
2018-2022,33.8,1,1
2018-2022,36.3,1,1
2018-2022,30.6,1,1
2018-2022,30.4,0,1
2018-2022,29.7,1,1
2018-2022,32.3,0,1
2018-2022,36.1,1,1
2018-2022,41.7,1,1
2018-2022,41.0,0,0
2018-2022,38.0,1,1
2018-2022,22.7,0,0
2018-2022,32.0,1,1
2018-2022,29.0,1,1
2018-2022,28.3,0,0
